x,y
483.0,50.0
483.0,3947.0
50.0,483.0
3947.0,483.0
916.0,50.0
916.0,3947.0
50.0,916.0
3947.0,916.0
1349.0,50.0
1349.0,3947.0
50.0,1349.0
3947.0,1349.0
1782.0,50.0
1782.0,3947.0
50.0,1782.0
3947.0,1782.0
2215.0,50.0
2215.0,3947.0
50.0,2215.0
3947.0,2215.0
2648.0,50.0
2648.0,3947.0
50.0,2648.0
3947.0,2648.0
3081.0,50.0
3081.0,3947.0
50.0,3081.0
3947.0,3081.0
3514.0,50.0
3514.0,3947.0
50.0,3514.0
3947.0,3514.0
50.0,3947.0
50.0,50.0
3947.0,50.0
3947.0,3947.0
1132.5,2431.5
1998.5,3297.5
2864.5,2864.5
1565.5,2431.5
1565.5,1132.5
1565.5,2864.5
2864.5,1998.5
1565.5,699.5
2864.5,3297.5
1998.5,1565.5
1565.5,1565.5
1132.5,2864.5
2864.5,1565.5
2431.5,1998.5
